Date,age,balance,day_of_week,duration,campaign,pdays,previous,Target
20080616,50,210,16,247,2,-1,0,0
20080728,26,1163,28,239,4,-1,0,0
20100702,28,492,2,281,1,-1,0,0
20080724,41,2661,24,258,1,-1,0,0
20080505,33,1,5,198,1,-1,0,0
20080506,37,123,6,530,2,-1,0,0
20080605,53,104,5,701,1,-1,0,1
20091118,45,-312,18,46,4,-1,0,0
20101125,61,2282,25,1092,1,-1,0,0
20090128,48,375,28,290,3,-1,0,0
20100602,29,1165,2,245,1,-1,0,1
20090801,34,91,29,67,4,-1,0,0
20080605,35,188,5,1865,2,-1,0,1
20080609,43,861,9,78,1,-1,0,0
20100417,30,249,17,294,1,275,2,0
20090827,58,413,27,104,5,-1,0,0
20090827,54,204,27,231,5,-1,0,0
20080523,27,1492,23,67,13,-1,0,0
20100811,45,3857,11,425,2,190,1,0
20090819,50,329,19,329,4,-1,0,0
20080507,49,326,7,99,2,-1,0,0
20090504,28,1984,4,32,2,14,1,0
20100812,34,256,12,201,2,267,1,0
20080505,33,193,5,132,2,-1,0,0
20090701,36,-129,29,121,3,-1,0,0
20080603,27,691,3,418,2,-1,0,0
20080603,40,1734,3,123,4,-1,0,0
20100203,34,563,3,150,2,-1,0,0
20080611,47,303,11,261,1,-1,0,0
20080514,40,1313,14,87,1,-1,0,0
20100416,56,6483,16,125,2,-1,0,0
20090808,60,73,8,243,2,-1,0,1
20080507,47,0,7,164,1,-1,0,0
20080709,54,4816,9,406,1,-1,0,0
20080718,31,117,18,41,1,-1,0,0
20100707,52,37,7,1284,1,-1,0,0
20100819,24,431,19,418,11,185,5,1
20080710,30,5,10,829,5,-1,0,1
20100511,46,-339,11,182,2,-1,0,0
20080512,45,171,12,539,1,-1,0,0
20100603,40,595,3,406,2,-1,0,1
20100514,32,684,14,607,3,-1,0,1
20080728,26,4,28,201,2,-1,0,0
20100426,35,0,26,135,3,363,2,0
20100204,53,230,4,56,2,250,1,0
20090826,49,108,26,210,6,-1,0,0
20090811,52,0,11,179,4,-1,0,0
20090819,41,15302,19,121,4,-1,0,0
20080516,57,4168,16,47,1,-1,0,0
20080617,51,48,17,130,1,-1,0,0
20100511,31,166,11,227,1,-1,0,0
20091120,36,11675,20,48,1,-1,0,0
20080708,35,329,8,520,3,-1,0,0
20090818,49,154,18,26,15,-1,0,0
20100409,35,7962,9,275,2,140,2,0
20100514,31,466,14,164,1,-1,0,0
20100514,37,969,14,343,2,-1,0,0
20100205,32,2976,5,783,1,175,5,1
20080605,41,4320,5,245,2,-1,0,0
20080519,30,880,19,967,6,-1,0,1
20100209,36,1245,9,8,7,248,9,0
20100204,33,315,4,146,3,-1,0,1
20100420,51,1153,20,76,5,-1,0,0
20090801,32,0,29,63,2,-1,0,0
20100401,40,442,1,212,1,-1,0,0
20090819,43,483,19,950,6,-1,0,1
20080516,34,695,16,1064,4,-1,0,1
20080612,40,84,12,230,7,-1,0,0
20100812,51,2007,12,1226,3,-1,0,1
20100702,58,0,2,478,2,-1,0,1
20091120,47,1315,20,329,4,-1,0,1
20080711,52,698,11,213,2,-1,0,0
20080602,53,6525,2,73,3,-1,0,0
20080523,32,736,23,700,3,-1,0,0
20080710,32,0,10,428,1,-1,0,0
20100818,49,9131,18,532,1,461,5,1
20100508,57,13,8,323,2,368,2,0
20100906,38,14352,6,8,1,-1,0,0
20100512,32,-410,12,179,3,-1,0,0
20090504,20,292,4,45,1,-1,0,0
20100209,32,298,9,12,4,-1,0,0
20090807,33,3915,7,65,4,-1,0,0
20100205,30,145,5,96,3,175,1,0
20080616,37,264,16,220,1,-1,0,0
20080725,34,0,25,141,3,-1,0,0
20080515,32,289,15,255,12,-1,0,0
20100202,36,82,2,124,1,178,4,0
20080725,49,560,25,85,3,-1,0,0
20090827,49,410,27,117,7,-1,0,0
20080513,53,887,13,169,2,-1,0,0
20100707,53,6649,7,83,1,-1,0,0
20100810,56,3450,10,507,1,181,2,1
20080601,50,3988,30,165,4,-1,0,0
20100202,31,1,2,19,6,-1,0,0
20100617,75,962,17,344,1,-1,0,0
20100909,34,158,9,278,2,132,4,1
20090701,56,-82,29,234,6,-1,0,0
20090101,56,545,29,86,1,-1,0,0
20100518,44,59,18,9,4,341,19,0
20080520,38,434,20,411,1,-1,0,0
20100205,51,300,5,8,6,-1,0,0
20080609,42,1206,9,136,4,-1,0,0
20100209,37,784,9,41,3,-1,0,0
20080528,26,245,28,146,2,-1,0,0
20090128,43,1035,28,122,1,-1,0,0
20080602,31,1475,2,76,1,-1,0,0
20100212,36,341,12,419,2,183,1,1
20101113,46,2671,13,180,3,91,4,0
20100624,27,6791,24,136,5,94,30,0
20091018,37,199,18,50,1,-1,0,0
20080723,36,699,23,125,1,-1,0,0
20080710,27,-23,10,123,4,-1,0,0
20100407,41,2185,7,157,4,309,4,0
20091118,44,318,18,638,2,-1,0,0
20090811,32,715,11,159,1,-1,0,0
20100406,24,1684,6,112,4,-1,0,0
20080606,60,10285,6,174,2,-1,0,0
20080507,31,147,7,374,1,-1,0,0
20080725,57,909,25,147,2,-1,0,0
20091120,34,3043,20,670,1,-1,0,1
20080725,31,430,25,137,16,-1,0,0
20080710,46,1,10,270,7,-1,0,0
20091121,44,4119,21,1074,1,-1,0,1
20090822,35,-126,22,82,2,-1,0,0
20080714,30,-287,14,244,3,-1,0,0
20080717,37,1142,17,309,2,-1,0,0
20100420,42,72,20,124,2,348,3,0
20100518,33,-52,18,278,1,-1,0,0
20090827,50,238,27,968,5,-1,0,0
20090701,41,261,29,797,15,-1,0,0
20080501,41,8238,30,124,4,-1,0,0
20090101,45,-407,29,503,2,224,18,0
20090828,30,3,28,21,6,-1,0,0
20101111,53,1624,11,166,3,97,7,1
20100515,29,80,15,15,5,361,1,0
20090801,37,-9,29,168,2,-1,0,0
20080609,35,0,9,115,4,-1,0,0
20100513,59,-91,13,239,1,369,5,0
20080709,39,3324,9,108,1,-1,0,0
20100513,51,42,13,80,2,-1,0,0
20100218,34,2159,18,386,1,-1,0,1
20080624,33,350,24,137,5,-1,0,0
20091119,52,3990,19,1548,1,153,1,0
20100515,30,1761,15,229,2,294,1,0
20100428,42,784,28,428,3,-1,0,0
20100804,80,2354,4,199,2,181,3,0
20100421,25,722,21,623,2,-1,0,1
20080519,41,713,19,78,1,-1,0,0
20080728,35,-631,28,124,3,-1,0,0
20100413,52,8180,13,81,1,144,1,0
20100515,37,949,15,302,1,-1,0,0
20080605,54,1327,5,115,2,-1,0,0
20090505,36,767,5,62,1,355,2,0
20080716,26,166,16,83,2,-1,0,0
20100507,41,5907,7,198,1,167,5,0
20090811,52,989,11,356,1,-1,0,0
20080605,44,382,5,1167,1,-1,0,0
20080714,48,339,14,123,4,-1,0,0
20100511,45,-72,11,306,1,-1,0,0
20090128,53,529,28,558,1,-1,0,0
20091117,56,97,17,215,1,-1,0,0
20100420,48,3531,20,81,2,287,6,0
20080723,26,5829,23,41,2,-1,0,0
20080611,51,2995,11,93,2,-1,0,0
20080716,25,158,16,231,2,-1,0,0
20101106,54,0,6,464,5,192,8,1
20100205,42,1628,5,119,1,195,8,0
20090818,48,0,18,195,3,-1,0,0
20100901,28,390,29,845,1,232,4,1
20100513,55,1279,13,446,3,357,8,0
20080501,32,1484,30,363,7,-1,0,0
20100203,48,312,3,369,2,-1,0,0
20100427,61,1058,27,159,3,-1,0,1
20100507,38,0,7,127,1,171,2,0
