feature("LIMIT.BAL"),SEX,EDUCATION,MARRIAGE,AGE,DEFAULT_PAYMENT_NEXT_MONTH
30000,male,highschool,married,55,1
60000,female,graduate,single,27,0
400000,female,university,married,38,0
180000,female,university,married,34,0
20000,male,graduate,single,40,0
200000,female,highschool,married,49,1
100000,male,graduate,single,27,0
60000,male,university,single,23,1
110000,female,university,single,36,0
260000,female,highschool,married,53,0
50000,female,highschool,married,46,0
180000,male,university,single,29,0
110000,male,university,single,29,1
340000,female,graduate,single,27,0
50000,male,university,single,24,0
230000,female,university,married,28,1
360000,female,university,single,32,0
210000,male,university,single,43,0
220000,female,university,married,41,1
60000,female,university,married,34,1
340000,male,university,married,55,0
150000,male,graduate,married,40,0
200000,female,university,married,37,1
130000,female,university,single,40,1
60000,female,graduate,single,28,0
400000,female,university,married,43,0
20000,male,graduate,single,27,0
190000,female,graduate,single,28,0
260000,female,graduate,single,30,0
140000,female,university,single,31,0
50000,female,university,married,31,1
120000,female,graduate,single,34,0
240000,female,university,single,30,0
50000,male,university,single,36,0
200000,female,graduate,single,29,0
180000,male,graduate,married,39,0
180000,female,graduate,single,26,0
160000,female,graduate,single,29,0
100000,female,university,single,26,0
50000,female,university,single,29,1
140000,female,university,single,31,0
30000,female,university,single,26,1
90000,male,graduate,single,26,0
200000,male,graduate,married,36,0
380000,male,graduate,single,30,1
80000,female,university,single,43,0
50000,male,highschool,married,58,0
180000,male,university,married,45,1
240000,female,university,single,26,0
380000,male,university,single,34,0
110000,female,other,single,24,0
260000,male,graduate,married,34,0
500000,female,university,single,23,1
320000,female,university,single,30,0
50000,male,university,single,32,0
110000,male,graduate,married,40,1
230000,female,graduate,single,35,0
330000,female,university,married,56,0
50000,female,university,married,61,0
10000,male,university,single,24,0
300000,male,graduate,married,40,0
20000,female,university,married,32,1
180000,male,university,married,36,1
160000,male,graduate,single,30,0
90000,female,graduate,single,34,0
30000,male,highschool,divorce,54,0
180000,male,graduate,married,46,0
30000,male,highschool,married,58,0
30000,male,university,married,43,0
140000,female,graduate,single,28,0
210000,male,graduate,single,30,0
50000,male,university,single,31,1
130000,female,university,single,29,0
50000,female,university,married,37,1
140000,male,highschool,married,36,0
170000,female,university,single,28,1
80000,male,university,single,25,0
410000,female,other,married,42,0
80000,female,graduate,single,29,0
80000,male,highschool,married,73,1
150000,male,university,married,43,0
260000,male,graduate,married,30,1
350000,male,graduate,married,38,0
280000,female,university,married,39,1
310000,male,university,married,44,0
140000,female,university,single,29,0
360000,male,graduate,married,51,0
140000,female,graduate,single,27,0
100000,male,graduate,single,38,0
50000,female,university,single,22,0
210000,female,university,married,30,0
120000,female,university,single,25,0
240000,male,graduate,single,29,0
60000,female,highschool,divorce,42,0
150000,male,graduate,single,41,1
30000,male,university,married,48,0
160000,female,graduate,single,29,1
200000,male,graduate,married,52,0
120000,female,university,married,25,0
500000,male,graduate,married,37,0
320000,female,graduate,single,27,0
280000,male,graduate,single,31,0
60000,female,graduate,single,23,1
200000,female,graduate,married,38,0
230000,female,graduate,married,32,0
230000,female,university,single,27,1
480000,female,highschool,married,41,0
50000,female,highschool,married,35,0
200000,female,graduate,single,31,0
50000,female,graduate,single,30,0
50000,male,university,married,48,0
260000,female,graduate,single,36,1
30000,male,graduate,single,24,0
440000,female,graduate,single,29,0
230000,female,university,single,38,0
200000,male,university,married,38,1
490000,female,university,married,30,0
80000,female,university,married,32,0
20000,female,highschool,single,49,1
170000,female,graduate,single,31,1
70000,male,graduate,single,27,0
210000,female,university,single,33,0
90000,female,university,single,25,0
390000,female,graduate,single,27,1
110000,female,graduate,single,29,0
580000,female,graduate,married,36,0
360000,male,highschool,married,55,0
270000,female,university,married,32,1
60000,female,graduate,single,27,0
110000,male,highschool,married,37,0
50000,female,graduate,married,25,0
80000,female,graduate,single,23,1
50000,male,university,single,23,0
100000,male,graduate,single,32,0
30000,female,graduate,single,26,0
200000,female,graduate,single,27,0
240000,male,graduate,single,44,1
220000,male,university,single,34,0
160000,female,graduate,single,28,0
180000,female,graduate,married,53,0
200000,male,other,married,42,0
140000,female,highschool,married,30,0
380000,male,graduate,married,51,1
600000,male,graduate,married,53,1
260000,male,university,single,37,0
200000,female,graduate,single,26,0
80000,male,university,single,42,0
40000,male,university,single,39,0
130000,male,highschool,single,39,0
50000,male,graduate,single,32,0
230000,female,university,married,41,0
70000,male,university,married,48,1
180000,female,university,married,38,0
80000,female,university,married,36,0
290000,female,university,single,26,0
230000,female,graduate,single,28,0
170000,female,highschool,divorce,56,0
230000,male,graduate,married,59,1
220000,male,graduate,single,38,1
230000,male,university,single,32,0
500000,male,university,married,38,0
90000,female,graduate,married,41,0
390000,female,highschool,single,35,1
400000,female,university,single,41,0
180000,male,university,married,34,0
60000,male,highschool,married,38,0
120000,female,university,married,32,0
60000,female,university,single,29,0
50000,male,graduate,single,44,0
70000,female,university,married,37,0
500000,female,graduate,married,38,0
200000,male,graduate,single,31,0
250000,female,university,married,40,0
140000,male,university,single,26,1
70000,female,university,single,28,0
90000,male,highschool,married,48,0
100000,female,university,married,43,0
190000,male,university,married,31,0
230000,female,graduate,married,42,0
320000,male,university,married,39,0
220000,female,university,married,36,1
260000,female,graduate,married,34,0
90000,female,university,single,32,0
30000,female,university,married,43,0
260000,male,university,single,30,0
170000,female,university,single,28,0
80000,female,graduate,married,28,1
50000,male,graduate,married,41,0
200000,female,highschool,single,47,0
20000,male,university,single,23,0
250000,female,graduate,married,49,0
20000,male,graduate,married,38,0
30000,female,university,married,38,0
90000,female,university,married,35,0
230000,female,other,single,46,0
130000,female,graduate,married,33,1
30000,male,other,married,53,0
160000,male,graduate,single,35,0
500000,female,university,single,43,0
180000,female,university,single,28,0
80000,female,university,married,30,0
120000,male,graduate,single,26,0
130000,male,university,married,31,0
120000,female,university,single,35,1
360000,male,graduate,single,28,0
50000,male,university,single,23,1
20000,female,university,single,23,0
100000,male,highschool,married,56,0
70000,male,highschool,married,32,0
50000,male,university,married,47,0
10000,female,university,single,22,0
290000,female,graduate,married,34,0
30000,female,graduate,married,31,0
410000,female,university,single,27,0
360000,male,graduate,single,28,1
140000,female,university,married,42,1
210000,female,graduate,single,32,0
220000,female,university,single,27,0
20000,male,university,single,27,0
620000,female,university,married,45,1
360000,male,graduate,single,26,0
20000,female,university,single,21,0
50000,male,university,single,23,0
50000,male,university,divorce,30,0
10000,male,university,single,46,1
100000,female,highschool,married,50,1
50000,male,graduate,single,26,0
60000,male,university,single,25,0
440000,female,graduate,single,35,0
120000,male,university,married,44,0
50000,female,graduate,single,52,0
110000,female,university,married,40,0
200000,female,graduate,single,38,0
150000,female,graduate,single,28,0
30000,female,university,married,36,1
100000,female,graduate,single,24,0
360000,female,graduate,married,34,0
390000,female,graduate,single,31,0
220000,female,graduate,married,41,1
160000,female,university,single,25,0
230000,female,graduate,single,28,0
120000,male,graduate,single,27,0
100000,male,highschool,married,52,1
190000,female,graduate,single,41,1
50000,male,graduate,married,56,1
240000,female,graduate,married,42,0
40000,female,university,single,24,0
630000,female,university,married,47,0
160000,female,graduate,married,33,0
110000,female,university,single,32,0
20000,male,university,single,29,0
210000,female,highschool,married,53,0
270000,male,graduate,single,34,0
360000,female,university,single,52,0
60000,female,university,married,42,0
360000,male,university,single,38,0
390000,female,graduate,single,45,0
250000,female,highschool,single,35,0
90000,female,graduate,single,24,1
360000,male,graduate,single,28,0
50000,male,highschool,single,26,0
270000,female,graduate,married,40,0
200000,female,graduate,single,29,0
50000,female,university,single,23,0
350000,male,graduate,single,33,0
160000,female,university,single,60,1
80000,female,highschool,married,49,0
290000,male,graduate,married,53,1
270000,female,graduate,single,28,0
80000,male,graduate,single,31,0
50000,male,university,single,36,0
30000,male,university,married,35,0
30000,male,university,single,28,1
90000,male,university,single,33,0
160000,male,graduate,single,26,0
80000,female,highschool,single,53,0
50000,male,university,single,42,0
20000,female,graduate,single,25,0
220000,male,graduate,married,43,1
210000,male,highschool,single,25,1
130000,female,university,single,29,0
260000,female,university,married,31,0
230000,female,graduate,married,30,0
160000,male,graduate,single,34,0
50000,male,graduate,married,35,0
80000,male,university,married,32,0
110000,male,highschool,single,46,0
200000,male,graduate,married,43,0
360000,male,university,single,29,0
210000,female,highschool,single,31,0
80000,female,university,single,24,0
300000,female,university,married,36,1
310000,female,university,married,43,0
30000,male,highschool,married,59,1
170000,male,graduate,married,53,0
140000,female,university,single,28,0
180000,female,university,single,31,0
50000,male,graduate,single,34,0
50000,female,university,married,36,0
110000,female,graduate,single,24,0
450000,female,highschool,married,36,0
200000,female,university,married,34,0
220000,male,graduate,single,43,0
360000,female,graduate,single,29,1
50000,male,university,married,37,0
40000,male,university,single,23,0
190000,female,university,married,37,0
150000,male,graduate,single,33,0
200000,female,graduate,married,37,0
270000,female,university,married,56,0
60000,male,graduate,single,25,0
200000,female,university,married,39,0
150000,female,university,married,39,0
180000,female,university,single,28,0
90000,female,graduate,single,27,0
360000,female,university,married,37,0
90000,female,graduate,single,24,0
20000,female,university,single,24,0
70000,male,graduate,married,46,0
230000,male,graduate,married,39,0
30000,male,highschool,married,48,0
200000,female,highschool,divorce,45,0
100000,male,highschool,single,49,0
50000,female,university,single,23,0
20000,female,highschool,married,25,0
210000,female,university,married,47,0
110000,male,highschool,married,56,0
20000,female,highschool,married,44,0
50000,female,highschool,married,49,0
50000,male,university,married,41,0
400000,female,graduate,single,40,0
170000,male,university,single,31,0
280000,male,university,married,42,0
130000,female,highschool,married,28,0
210000,female,university,single,32,0
370000,male,university,single,28,0
30000,female,university,married,31,0
150000,male,highschool,single,39,0
60000,male,highschool,married,31,1
80000,female,university,single,24,0
280000,female,university,married,44,1
20000,female,university,single,46,0
270000,male,graduate,single,32,0
240000,female,university,single,26,0
20000,female,graduate,single,22,0
450000,female,graduate,married,42,1
10000,male,university,single,33,0
280000,male,university,married,39,1
290000,female,highschool,single,27,0
190000,female,graduate,single,28,1
80000,female,graduate,single,23,0
280000,female,university,single,28,0
160000,female,graduate,married,33,0
90000,male,university,married,40,1
140000,female,graduate,single,37,0
50000,male,graduate,single,22,0
40000,female,university,married,32,0
130000,female,highschool,married,43,0
70000,female,highschool,married,27,0
30000,female,university,married,35,0
100000,female,highschool,married,35,0
20000,female,graduate,married,30,1
30000,female,university,single,34,0
20000,male,university,married,34,1
100000,female,graduate,single,28,1
30000,male,university,single,25,1
320000,female,graduate,married,41,0
90000,male,highschool,single,42,1
190000,male,university,single,40,1
200000,male,graduate,single,28,0
300000,female,university,single,31,0
30000,female,graduate,single,56,0
110000,female,university,divorce,45,0
230000,female,graduate,single,29,0
230000,female,graduate,married,35,0
310000,female,university,single,28,0
320000,male,graduate,married,40,0
360000,male,graduate,married,47,0
20000,female,highschool,married,41,1
170000,female,university,single,27,0
140000,male,graduate,married,40,0
80000,male,university,single,32,0
150000,male,university,single,35,0
170000,male,university,single,27,0
200000,female,university,married,29,1
70000,male,graduate,single,30,0
320000,male,university,married,37,0
150000,female,graduate,single,29,0
50000,female,graduate,married,34,0
90000,female,university,single,34,0
280000,male,graduate,married,41,0
300000,female,graduate,single,31,0
400000,female,university,single,40,0
200000,female,graduate,married,27,0
10000,female,highschool,single,22,1
50000,female,university,divorce,30,1
30000,female,university,divorce,22,0
50000,male,graduate,single,26,1
50000,male,university,married,38,0
30000,female,highschool,married,46,0
20000,male,university,single,24,0
20000,male,university,single,49,0
50000,male,graduate,divorce,49,0
30000,female,university,married,42,0
360000,female,graduate,married,30,0
170000,male,university,married,42,0
400000,female,graduate,single,31,0
50000,female,university,married,49,0
160000,female,university,single,27,0
70000,female,university,married,33,1
150000,female,graduate,married,35,0
80000,female,university,single,48,0
30000,female,university,single,22,0
10000,male,university,single,22,1
180000,female,graduate,single,27,0
320000,male,graduate,married,47,0
80000,female,university,single,34,0
10000,male,university,married,45,1
360000,female,university,single,39,0
450000,male,university,single,33,0
330000,female,university,single,29,0
60000,male,graduate,single,29,1
50000,female,highschool,single,26,0
200000,male,university,married,38,0
120000,male,graduate,single,34,0
160000,female,graduate,married,37,0
110000,male,university,married,57,0
70000,female,highschool,married,50,0
150000,female,highschool,single,28,0
610000,female,graduate,single,31,0
110000,female,graduate,single,25,0
80000,female,university,single,25,1
170000,female,university,married,33,0
110000,female,graduate,single,30,0
140000,female,graduate,married,51,0
70000,male,graduate,single,51,0
260000,female,university,married,46,0
170000,male,highschool,single,38,0
50000,female,university,married,34,0
300000,female,highschool,married,34,1
150000,female,graduate,single,31,1
50000,female,university,single,25,1
50000,female,university,married,26,0
90000,female,graduate,single,25,0
50000,male,university,single,26,1
500000,female,university,single,43,0
470000,female,university,married,36,0
230000,male,university,single,58,0
140000,female,university,single,26,0
230000,female,university,married,30,1
420000,female,university,single,31,0
30000,female,university,single,24,0
50000,female,university,single,52,1
140000,female,university,single,24,0
260000,female,university,married,35,0
90000,female,highschool,single,29,0
240000,female,university,married,33,0
510000,female,graduate,single,35,0
110000,female,university,married,35,0
210000,female,graduate,single,28,0
220000,male,university,married,40,0
200000,female,graduate,married,35,0
360000,female,university,single,53,0
260000,male,graduate,single,44,0
20000,male,university,married,33,0
120000,female,university,married,32,0
50000,female,graduate,single,33,0
60000,female,graduate,single,26,0
200000,male,graduate,single,26,0
20000,male,university,single,26,0
50000,female,graduate,married,32,1
50000,female,university,single,31,0
230000,male,graduate,single,29,0
50000,male,university,married,27,0
100000,female,graduate,single,28,1
210000,female,graduate,married,42,1
230000,female,university,married,32,1
500000,female,graduate,single,26,0
370000,female,graduate,single,38,0
230000,female,graduate,married,35,0
80000,male,university,single,29,0
60000,female,university,single,29,0
30000,female,university,single,51,0
70000,male,graduate,single,27,0
410000,male,graduate,single,32,0
280000,female,highschool,married,40,0
50000,female,graduate,married,34,0
100000,female,university,married,30,0
230000,female,graduate,single,29,0
50000,female,graduate,single,22,0
100000,female,graduate,single,48,0
210000,female,university,married,35,0
400000,male,graduate,single,37,0
20000,male,university,single,25,1
50000,female,highschool,married,44,0
230000,female,graduate,single,28,0
220000,male,university,single,29,0
300000,female,graduate,married,36,0
80000,female,university,single,23,0
20000,female,highschool,single,36,1
190000,female,graduate,single,26,0
160000,female,university,other,37,0
120000,female,graduate,divorce,44,0
700000,female,graduate,married,39,0
140000,female,graduate,single,24,0
300000,female,highschool,married,29,0
120000,male,highschool,married,33,1
280000,female,university,married,39,0
70000,male,highschool,married,51,1
20000,female,highschool,single,24,0
150000,female,university,married,45,0
60000,male,graduate,single,30,0
200000,female,highschool,other,51,0
50000,female,university,single,24,1
150000,male,university,married,50,0
20000,female,graduate,single,22,0
40000,male,graduate,single,27,1
170000,female,university,single,33,0
50000,female,university,married,24,0
10000,male,university,single,37,0
200000,female,university,married,58,0
50000,female,university,married,48,0
320000,male,graduate,single,28,0
20000,female,highschool,married,24,0
470000,female,university,married,27,1
230000,female,highschool,single,30,0
20000,female,graduate,single,23,0
30000,female,highschool,single,53,1
80000,female,university,single,23,0
110000,female,university,married,55,0
420000,male,university,married,34,0
500000,male,graduate,married,43,1
80000,female,university,single,22,0
350000,female,university,married,31,0
30000,female,university,married,32,0
110000,female,university,single,33,1
500000,male,highschool,married,39,0
490000,female,graduate,married,38,0
300000,female,university,married,34,0
50000,male,university,divorce,42,1
150000,male,highschool,married,37,1
80000,female,highschool,married,57,0
40000,female,university,single,23,0
30000,male,university,single,32,0
50000,male,graduate,married,37,0
140000,female,university,single,23,0
50000,female,highschool,single,49,0
30000,female,university,single,25,0
40000,female,graduate,single,29,1
100000,female,highschool,married,43,1
130000,male,university,single,29,0
20000,female,university,single,27,0
50000,male,graduate,single,26,0
260000,male,graduate,married,41,0
30000,female,highschool,single,52,1
10000,female,university,married,31,0
200000,male,graduate,single,32,0
30000,female,university,married,46,0
180000,female,university,single,35,0
100000,male,graduate,single,35,0
140000,female,university,married,39,0
290000,female,university,single,34,0
20000,female,university,divorce,52,0
80000,female,highschool,married,40,0
500000,female,highschool,married,38,0
180000,male,graduate,married,45,0
20000,female,highschool,married,40,0
30000,female,university,married,25,0
150000,male,graduate,single,33,0
280000,female,university,single,27,0
50000,female,university,married,43,0
20000,female,university,married,43,0
200000,male,graduate,single,30,0
210000,female,university,married,49,1
230000,female,graduate,single,38,0
50000,male,highschool,single,57,0
50000,male,highschool,single,55,1
70000,female,university,single,23,0
310000,male,graduate,single,30,0
180000,female,university,married,30,0
90000,female,university,single,24,0
390000,male,university,single,28,0
150000,female,highschool,married,34,0
400000,male,university,single,37,0
80000,female,university,married,32,0
320000,male,graduate,single,27,0
240000,female,university,married,37,1
200000,male,graduate,single,31,0
110000,male,graduate,divorce,55,1
170000,female,graduate,single,28,1
90000,female,highschool,divorce,51,1
200000,male,graduate,married,36,0
360000,male,graduate,single,30,0
140000,female,graduate,married,36,0
220000,male,university,single,25,0
100000,male,highschool,married,50,0
80000,female,university,single,40,0
30000,female,university,single,27,0
50000,male,graduate,single,30,1
120000,female,university,single,26,0
50000,male,graduate,single,27,0
360000,female,graduate,single,27,0
90000,female,graduate,single,25,0
500000,male,graduate,single,32,0
140000,female,highschool,married,46,0
30000,male,highschool,married,45,0
70000,male,highschool,married,30,0
200000,male,graduate,married,39,0
350000,male,graduate,married,48,0
120000,male,graduate,single,32,1
240000,male,graduate,single,46,0
90000,female,graduate,single,23,0
260000,female,graduate,single,33,0
50000,female,graduate,single,24,0
110000,male,graduate,married,40,0
20000,female,graduate,single,24,0
30000,female,university,single,24,0
180000,male,graduate,single,27,1
20000,male,university,married,46,0
50000,female,university,single,22,0
180000,female,graduate,single,36,0
200000,male,graduate,married,34,0
260000,female,university,single,24,0
320000,male,graduate,married,60,1
160000,female,university,single,29,1
30000,male,university,single,32,1
50000,female,university,married,36,0
50000,male,university,single,30,0
90000,female,university,single,29,0
240000,male,graduate,single,34,0
180000,female,university,married,32,1
200000,female,university,married,32,0
50000,female,graduate,single,25,0
50000,male,university,married,44,0
330000,female,graduate,married,37,0
80000,female,university,single,24,1
50000,female,university,single,23,0
360000,female,graduate,single,29,0
240000,female,university,married,37,0
50000,male,university,married,59,0
470000,male,university,single,33,0
160000,female,highschool,married,51,0
30000,male,graduate,married,27,1
80000,female,university,married,32,0
500000,female,highschool,single,42,0
180000,male,university,single,39,0
110000,female,university,married,46,0
160000,male,graduate,married,41,0
210000,female,university,single,30,0
200000,female,graduate,married,34,1
350000,male,graduate,single,35,0
250000,male,graduate,single,41,1
380000,male,graduate,single,43,1
30000,male,university,single,47,0
200000,male,university,single,31,0
30000,male,university,single,30,0
50000,male,university,single,24,0
500000,male,graduate,married,36,0
30000,male,graduate,single,28,0
220000,female,graduate,married,36,0
20000,female,university,married,27,0
180000,female,university,married,32,0
300000,male,graduate,married,42,1
130000,female,university,married,33,0
180000,female,highschool,married,39,1
150000,female,graduate,divorce,30,0
140000,male,university,married,30,1
50000,female,university,single,22,0
20000,male,university,single,25,1
180000,male,graduate,single,28,0
180000,male,university,single,26,1
150000,female,highschool,married,54,0
70000,female,graduate,single,24,0
30000,male,university,single,29,0
