ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT_NEXT_MONTH
27,60000,male,graduate school,single,27,1 month delay,no consumption,pay duly,pay duly,pay duly,pay duly,-109,-425,259,-57,127,-189,0,1000,0,500,0,1000,y
28,50000,female,high school,single,30,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,22541,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,1012,n
29,50000,female,high school,married,47,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,n
30,50000,male,graduate school,single,26,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,15329,16575,17496,17907,18375,11400,1500,1500,1000,1000,1600,0,n
31,230000,female,graduate school,single,27,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,16646,17265,13266,15339,14307,36923,17270,13281,15339,14307,37292,0,n
32,50000,male,university,single,33,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,y
33,100000,male,graduate school,single,32,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,93036,84071,82880,80958,78703,75589,3023,3511,3302,3204,3200,2504,n
34,500000,female,university,married,54,no consumption,no consumption,no consumption,no consumption,no consumption,no consumption,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,n
35,500000,male,graduate school,married,58,no consumption,no consumption,no consumption,no consumption,no consumption,no consumption,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,n
36,160000,male,graduate school,single,30,pay duly,pay duly,no consumption,no consumption,no consumption,pay duly,30265,-131,-527,-923,-1488,-1884,131,396,396,565,792,0,n
37,280000,male,university,married,40,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,186503,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,6737,n
38,60000,female,university,single,22,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,pay duly,15054,9806,11068,6026,-28335,18660,1500,1518,2043,0,47671,617,n
39,50000,male,graduate school,single,25,1 month delay,pay duly,pay duly,no consumption,no consumption,no consumption,0,780,0,0,0,0,780,0,0,0,0,0,y
40,280000,male,graduate school,single,31,pay duly,pay duly,2 month delay,pay duly,use of revolving credit,pay duly,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,n
41,360000,male,graduate school,single,33,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,218668,221296,206895,628699,195969,179224,10000,7000,6000,188840,28000,4000,n
42,70000,female,graduate school,single,25,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,67521,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,2500,n
43,10000,male,university,single,22,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,1877,3184,6003,3576,3670,4451,1500,2927,1000,300,1000,500,n
44,140000,female,university,married,37,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,59504,61544,62925,64280,67079,69802,3000,3000,3000,4000,4000,3000,n
45,40000,female,graduate school,single,30,use of revolving credit,use of revolving credit,use of revolving credit,2 month delay,use of revolving credit,use of revolving credit,18927,21295,25921,25209,26636,29197,3000,5000,0,2000,3000,0,n
46,210000,male,graduate school,single,29,no consumption,no consumption,no consumption,no consumption,no consumption,no consumption,0,0,0,0,0,0,0,0,0,0,0,0,y
47,20000,female,graduate school,single,22,use of revolving credit,use of revolving credit,2 month delay,pay duly,use of revolving credit,use of revolving credit,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,0,y
48,150000,female,other,single,46,use of revolving credit,use of revolving credit,pay duly,use of revolving credit,use of revolving credit,no consumption,4463,3034,1170,1170,0,0,1013,1170,0,0,0,0,y
49,380000,male,university,single,32,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,n
50,20000,male,graduate school,single,24,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,1069,n
51,70000,male,high school,single,42,1 month delay,2 month delay,2 month delay,2 month delay,2 month delay,use of revolving credit,37042,36171,38355,39423,38659,39362,0,3100,2000,0,1500,1500,y
52,100000,female,high school,divorced,43,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,n
53,310000,female,university,married,49,no consumption,no consumption,no consumption,no consumption,no consumption,no consumption,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,n
54,180000,female,graduate school,single,25,1 month delay,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,n
55,150000,female,graduate school,single,29,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,5000,n
56,500000,female,graduate school,married,45,no consumption,no consumption,no consumption,no consumption,no consumption,no consumption,1905,3640,162,0,151,2530,3640,162,0,151,2530,0,n
57,180000,female,high school,married,34,use of revolving credit,use of revolving credit,use of revolving credit,pay duly,pay duly,pay duly,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9000,2000,n
58,180000,female,university,married,34,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,n
59,200000,female,graduate school,single,34,pay duly,3 month delay,2 month delay,2 month delay,2 month delay,2 month delay,1587,1098,782,1166,700,1414,0,0,700,0,1200,0,n
60,400000,female,university,married,29,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,400134,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,n
61,500000,female,high school,married,28,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,y
62,70000,male,university,married,39,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,pay duly,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0,n
63,50000,male,graduate school,single,29,2 month delay,2 month delay,2 month delay,2 month delay,2 month delay,2 month delay,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,y
64,50000,female,university,married,46,use of revolving credit,use of revolving credit,use of revolving credit,no consumption,no consumption,no consumption,28718,29166,0,0,0,0,1000,0,0,0,0,0,y
65,130000,female,university,married,51,pay duly,pay duly,no consumption,no consumption,pay duly,pay duly,99,0,0,0,2353,0,0,0,0,2353,0,0,n
66,200000,male,graduate school,married,57,no consumption,no consumption,no consumption,pay duly,2 month delay,2 month delay,152519,148751,144076,8174,8198,7918,0,0,8222,300,0,1000,y
67,10000,male,university,married,56,2 month delay,2 month delay,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,y
68,210000,female,graduate school,single,30,2 month delay,pay duly,pay duly,pay duly,pay duly,pay duly,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,n
69,130000,female,high school,single,29,1 month delay,no consumption,no consumption,pay duly,2 month delay,pay duly,-190,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,13899,n
70,20000,male,other,single,22,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,18565,17204,17285,18085,11205,5982,0,1200,1000,500,1000,0,n
71,80000,male,graduate school,single,31,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,780,0,390,390,390,390,0,390,390,390,390,390,n
72,320000,male,university,single,29,2 month delay,2 month delay,2 month delay,2 month delay,2 month delay,2 month delay,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,y
73,200000,female,university,married,32,pay duly,pay duly,pay duly,pay duly,2 month delay,pay duly,9076,5787,-684,5247,3848,3151,5818,15,9102,17,3165,1395,n
74,290000,female,graduate school,single,37,1 month delay,no consumption,pay duly,pay duly,pay duly,pay duly,0,0,3155,0,2359,0,0,3155,0,2359,0,0,n
75,340000,male,graduate school,single,32,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,3048,5550,23337,4291,80153,25820,5713,23453,4314,80552,25949,2016,n
76,20000,male,university,single,24,use of revolving credit,use of revolving credit,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,0,n
77,50000,male,high school,single,25,pay duly,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,1000,n
78,300000,female,graduate school,married,45,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,291,291,291,291,291,291,291,291,291,291,291,291,n
79,30000,female,university,single,22,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,28387,29612,30326,28004,26446,6411,1686,1400,560,3000,1765,0,y
80,240000,female,university,single,44,1 month delay,no consumption,no consumption,no consumption,no consumption,no consumption,0,0,0,0,0,0,0,0,0,0,0,0,y
81,470000,female,high school,divorced,33,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,165254,157784,162702,69923,29271,29889,6400,7566,3000,960,1000,3000,n
82,360000,female,graduate school,single,26,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,pay duly,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,2963,n
83,60000,male,high school,single,30,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,y
84,400000,female,university,married,44,use of revolving credit,use of revolving credit,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,n
85,50000,female,high school,single,49,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,48909,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,n
86,160000,male,university,single,33,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,4800,4500,n
87,360000,female,graduate school,married,45,pay duly,pay duly,2 month delay,use of revolving credit,pay duly,pay duly,390,1170,780,390,390,390,1170,0,0,390,390,390,y
88,160000,female,university,single,32,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,pay duly,3826,4751,6604,8604,7072,766,1147,2000,2000,0,766,2303,n
89,130000,female,graduate school,married,35,use of revolving credit,use of revolving credit,use of revolving credit,pay duly,pay duly,pay duly,81313,117866,17740,1330,7095,1190,40000,5000,1330,7095,1190,2090,n
90,20000,male,high school,single,44,2 month delay,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,2 month delay,8583,8303,9651,10488,12314,11970,0,1651,1000,2000,0,1500,n
91,200000,male,graduate school,married,53,2 month delay,2 month delay,2 month delay,2 month delay,2 month delay,2 month delay,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,y
92,280000,female,graduate school,single,39,pay duly,pay duly,pay duly,use of revolving credit,use of revolving credit,no consumption,7524,0,3968,3868,0,0,0,3968,0,0,0,0,n
93,100000,female,graduate school,single,27,no consumption,no consumption,no consumption,no consumption,no consumption,no consumption,-2000,5555,0,0,0,0,7555,0,0,0,0,0,n
94,160000,female,university,married,37,pay duly,pay duly,pay duly,pay duly,pay duly,no consumption,880,1602,840,840,0,0,1602,840,840,0,0,7736,n
95,60000,female,university,single,23,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,45648,46850,47214,19595,19209,19323,1937,1301,682,690,816,835,n
96,90000,male,university,single,35,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,83725,85996,87653,35565,30942,30835,3621,3597,1179,1112,1104,1143,n
97,360000,male,graduate school,married,43,pay duly,pay duly,pay duly,pay duly,pay duly,use of revolving credit,3967,8322,3394,6451,26370,9956,8339,3394,12902,27000,0,68978,n
98,150000,male,graduate school,single,27,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,86009,86108,89006,89775,87725,40788,4031,10006,3266,4040,1698,800,n
99,50000,female,high school,married,22,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,18722,18160,16997,13150,8866,7899,1411,1194,379,281,321,197,n
100,20000,male,university,married,38,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,pay duly,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,0,y
101,140000,male,graduate school,single,32,no consumption,no consumption,no consumption,no consumption,no consumption,no consumption,672,10212,850,415,100,1430,10212,850,415,100,1430,0,n
102,380000,female,graduate school,single,30,no consumption,no consumption,pay duly,use of revolving credit,use of revolving credit,use of revolving credit,-81,-303,32475,32891,33564,34056,223,33178,1171,1197,1250,5000,n
103,480000,male,graduate school,married,63,use of revolving credit,use of revolving credit,use of revolving credit,2 month delay,2 month delay,use of revolving credit,422069,431342,479432,487066,471145,469961,16078,55693,17000,0,18000,24200,n
104,50000,female,high school,single,22,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,44698,42254,38347,32496,23477,24094,1767,1362,1002,840,995,904,y
105,60000,female,university,single,26,2 month delay,2 month delay,2 month delay,2 month delay,2 month delay,use of revolving credit,56685,55208,59175,60218,55447,55305,0,5000,2511,6,3000,3000,n
106,70000,female,university,single,24,pay duly,pay duly,no consumption,no consumption,no consumption,pay duly,5580,0,0,0,0,26529,0,0,0,0,26529,2000,n
107,80000,female,university,married,36,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,6108,2861,3277,3319,1150,1150,2861,3279,3319,1150,1150,1035,n
108,350000,male,graduate school,single,52,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,713,2272,722,867,1150,5263,2272,722,867,1150,5263,5011,n
109,130000,male,university,single,38,use of revolving credit,use of revolving credit,use of revolving credit,pay duly,pay duly,pay duly,171438,178382,39940,120483,44127,126568,10908,0,133657,4566,133841,4796,n
110,360000,male,university,married,35,1 month delay,no consumption,no consumption,no consumption,no consumption,no consumption,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,n
111,330000,female,graduate school,married,31,use of revolving credit,use of revolving credit,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,105879,108431,105594,105896,106491,107289,9260,0,3593,4100,15794,0,n
112,50000,male,high school,married,47,use of revolving credit,use of revolving credit,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,13244,14722,15181,15928,16671,17393,2000,1000,1000,1000,1000,1000,n
113,280000,male,university,married,41,2 month delay,2 month delay,2 month delay,2 month delay,2 month delay,3 month delay,135673,138532,134813,144401,152174,149415,6500,0,14254,14850,0,5000,n
114,100000,female,graduate school,single,24,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,52128,52692,54477,56076,60100,59713,2000,2677,3076,5080,3000,2033,n
115,50000,male,university,single,41,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,19015,19294,20259,20274,20311,19957,1340,1305,700,718,724,684,n
116,30000,male,graduate school,single,24,pay duly,2 month delay,use of revolving credit,use of revolving credit,3 month delay,2 month delay,18199,17618,18631,21319,20692,21201,0,1312,3000,0,1000,1000,y
117,240000,male,graduate school,single,28,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,326,326,326,5676,476,326,326,326,5676,476,326,526,n
118,80000,male,university,single,26,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,14029,15493,16630,17055,17629,18186,2000,1700,1000,1000,1000,1000,y
119,400000,male,university,married,34,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,19660,9666,11867,7839,14837,7959,9677,11867,7839,14837,7959,5712,n
120,240000,female,university,single,38,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,pay duly,pay duly,50254,51445,53015,52479,1307,1203,2000,3000,3000,1307,1203,563,n
121,50000,male,high school,single,37,2 month delay,2 month delay,2 month delay,3 month delay,2 month delay,2 month delay,46004,45976,48953,48851,49318,51143,1000,4035,1000,1400,2800,0,y
122,450000,male,graduate school,married,40,1 month delay,no consumption,no consumption,no consumption,no consumption,no consumption,0,0,0,0,0,0,0,0,0,0,0,0,y
123,110000,female,graduate school,married,48,1 month delay,no consumption,no consumption,no consumption,no consumption,no consumption,0,0,0,0,0,0,0,0,0,0,0,0,n
124,310000,female,university,married,35,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,304991,311243,306314,258610,246491,198889,13019,11128,8407,8599,6833,5987,y
125,20000,male,graduate school,single,27,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,19115,18962,19298,19378,19717,15630,1404,1130,600,861,313,0,n
126,20000,male,university,single,23,1 month delay,no consumption,no consumption,no consumption,no consumption,no consumption,0,0,0,0,0,0,0,0,0,0,0,0,n
127,200000,male,high school,single,52,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,110151,99530,98951,100914,103146,104993,3568,3585,3602,3848,3669,3784,n
128,180000,male,graduate school,married,36,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,163736,116422,99278,95766,97753,95927,4655,2690,2067,2142,2217,1000,y
129,50000,male,university,married,51,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,3347,3899,4503,5347,6375,7077,1000,1066,1300,1500,1200,134,y
130,60000,male,high school,married,55,3 month delay,2 month delay,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,60521,61450,57244,28853,29510,26547,2504,7,1200,1200,1100,1500,n
131,30000,female,graduate school,single,23,1 month delay,no consumption,no consumption,no consumption,pay duly,pay duly,4000,5645,3508,-27,13744,5906,5645,3508,27,13771,5911,3024,n
132,240000,male,graduate school,single,41,1 month delay,pay duly,pay duly,use of revolving credit,use of revolving credit,pay duly,95,2622,3301,3164,360,1737,2622,3301,0,360,1737,924,n
133,420000,male,university,married,34,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,253454,247743,229049,220951,210606,188108,9744,9553,7603,7830,7253,11326,n
134,330000,male,high school,married,46,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,227389,228719,229644,227587,227775,228203,8210,8095,8025,8175,8391,8200,n
135,30000,female,university,single,22,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,28452,26145,26712,25350,17603,-780,2000,1400,0,500,0,1560,n
136,240000,male,university,married,34,use of revolving credit,use of revolving credit,use of revolving credit,2 month delay,2 month delay,2 month delay,10674,12035,13681,13269,14158,13891,1500,1800,0,1000,0,327,n
137,150000,male,graduate school,single,27,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,17444,19342,22000,24614,27200,30229,2500,3000,3000,3000,3500,5000,n
138,210000,female,university,married,33,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,7166,7997,8792,9189,4404,5708,1500,1500,1000,500,2000,546,n
139,50000,female,high school,married,51,pay duly,pay duly,pay duly,pay duly,no consumption,no consumption,752,300,5880,0,0,0,300,5880,0,0,0,0,y
140,50000,male,graduate school,single,24,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,50801,50143,49586,19430,19375,18995,2360,1700,1000,900,870,2130,n
141,240000,male,graduate school,single,47,1 month delay,no consumption,no consumption,no consumption,no consumption,no consumption,0,0,0,0,0,0,0,0,0,0,0,0,y
142,180000,male,university,single,28,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,1832,0,832,332,416,416,0,416,332,500,3500,832,n
143,50000,male,university,single,23,1 month delay,2 month delay,2 month delay,2 month delay,use of revolving credit,use of revolving credit,10131,10833,20583,19996,19879,18065,1000,10000,400,700,800,600,n
144,170000,male,university,single,29,no consumption,no consumption,no consumption,no consumption,no consumption,no consumption,12159,10000,10000,10000,9983,15846,10000,10000,10000,9983,15863,10000,n
145,20000,male,graduate school,single,29,pay duly,pay duly,pay duly,pay duly,use of revolving credit,pay duly,1199,15586,344,2340,6702,339,15586,344,2340,4702,339,330,n
146,50000,male,graduate school,single,28,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,3 month delay,4999,5913,7315,9195,10624,10138,1000,1500,2000,1583,1100,0,n
147,170000,female,university,single,27,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,19269,20313,20852,17560,17918,9100,1661,1200,351,358,182,0,y
148,200000,male,graduate school,single,34,1 month delay,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,197236,176192,93069,135668,132233,59875,8000,5000,55500,5000,5000,8500,n
149,80000,female,university,married,23,1 month delay,2 month delay,3 month delay,2 month delay,use of revolving credit,use of revolving credit,9168,10522,10205,9898,10123,12034,1650,0,0,379,2091,1,n
150,260000,female,graduate school,married,60,1 month delay,no consumption,pay duly,pay duly,pay duly,pay duly,-1100,-1100,21400,0,969,869,0,22500,0,969,1000,0,n
151,140000,male,university,married,32,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,2 month delay,use of revolving credit,86627,78142,68336,64648,58319,55251,3455,3110,5000,0,2100,2602,n
152,80000,male,graduate school,single,25,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,42444,55744,43476,41087,41951,31826,30000,3000,6000,8000,2000,14000,n
153,350000,male,graduate school,single,41,1 month delay,pay duly,pay duly,pay duly,pay duly,no consumption,208,2906,1000,630,0,0,2906,1000,630,0,0,0,n
