"X","ID","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default.payment.next.month","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6"
39,39,50000,NA,"graduate","single",25,0,780,0,0,0,0,780,0,0,0,0,0,NA,"1_month_delay","pay_duly","pay_duly",NA,"no_util","no_util"
40,40,280000,"male","graduate","single",31,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,0,"pay_duly","pay_duly","2_month_delay","pay_duly","use_revolv_credit","pay_duly"
41,41,360000,"male","graduate","single",NA,218668,221296,206895,628699,195969,179224,10000,7000,6000,188840,NA,4000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit"
42,42,70000,"female","graduate","single",25,67521,66999,63949,63699,64718,65970,3000,4500,4042,NA,2800,NA,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
43,43,10000,"male","university","single",22,1877,3184,6003,3576,NA,4451,1500,2927,1000,300,1000,500,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
44,44,140000,"female","university","married",37,59504,61544,62925,64280,67079,69802,3000,3000,NA,4000,4000,3000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
45,45,40000,NA,"graduate","single",30,18927,21295,25921,25209,26636,29197,3000,5000,NA,2000,3000,0,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","2_month_delay","use_revolv_credit","use_revolv_credit"
46,46,210000,NA,"graduate",NA,29,0,0,0,0,0,0,0,0,0,0,0,0,1,"no_util","no_util","no_util","no_util","no_util","no_util"
NA,NA,20000,"female","graduate","single",22,14028,NA,15800,16341,16675,0,3000,0,16741,334,0,0,NA,NA,"use_revolv_credit","2_month_delay","pay_duly","use_revolv_credit","use_revolv_credit"
48,48,150000,"female","other","single",46,4463,3034,1170,1170,NA,NA,1013,1170,0,0,0,0,1,"use_revolv_credit","use_revolv_credit","pay_duly","use_revolv_credit","use_revolv_credit",NA
49,NA,380000,"male","university","single",32,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,0,"pay_duly","pay_duly",NA,"pay_duly","pay_duly","pay_duly"
NA,50,20000,"male",NA,"single",24,NA,18479,19476,19865,20480,20063,1318,1315,704,928,912,NA,NA,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
51,51,70000,"male","highschool",NA,42,37042,36171,38355,39423,38659,39362,0,3100,2000,0,1500,1500,1,"1_month_delay",NA,"2_month_delay","2_month_delay",NA,"use_revolv_credit"
52,52,100000,"female","highschool","divorce",43,61559,51163,43824,39619,35762,33258,NA,1606,1500,2000,1500,1000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
53,53,310000,"female","university","married",49,13465,NA,7600,NA,3544,464,7875,7600,11185,3544,464,0,0,"no_util","no_util","no_util","no_util","no_util","no_util"
54,54,180000,"female","graduate","single",25,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,0,"1_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit"
55,55,150000,"female","graduate","single",29,NA,34993,31434,26518,NA,16540,1600,1718,1049,1500,2000,5000,0,"2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
56,56,500000,"female","graduate","married",45,1905,3640,162,0,NA,2530,3640,162,0,NA,2530,0,0,"no_util",NA,"no_util","no_util","no_util","no_util"
57,57,180000,"female","highschool","married",34,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9000,2000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","pay_duly","pay_duly","pay_duly"
58,58,180000,"female","university","married",34,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,NA,"use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit"
59,59,200000,"female","graduate","single",34,1587,NA,NA,1166,700,1414,0,0,700,0,1200,0,0,NA,"3_month_delay","2_month_delay","2_month_delay",NA,"2_month_delay"
60,60,400000,"female","university","married",29,400134,398857,404205,360199,356656,364089,17000,NA,30000,12000,12000,23000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit"
61,61,500000,"female",NA,"married",28,22848,23638,18878,14937,13827,15571,1516,NA,1000,1000,2000,NA,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA
62,62,70000,"male","university","married",39,70800,72060,69938,NA,14096,830,4025,NA,1000,2000,NA,0,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","pay_duly"
63,63,50000,NA,NA,"single",29,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,1,"2_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay"
64,64,50000,"female","university","married",46,28718,29166,0,0,0,0,1000,0,0,0,0,0,1,NA,"use_revolv_credit","use_revolv_credit","no_util","no_util","no_util"
65,65,130000,"female","university","married",51,99,0,0,0,2353,0,0,0,0,2353,0,0,0,"pay_duly",NA,NA,"no_util",NA,"pay_duly"
66,66,200000,"male","graduate","married",57,152519,148751,144076,NA,8198,7918,0,0,8222,300,0,1000,1,"no_util",NA,"no_util","pay_duly","2_month_delay","2_month_delay"
67,67,10000,"male","university",NA,56,2097,4193,3978,4062,4196,4326,2300,0,150,200,NA,160,1,"2_month_delay",NA,"2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit"
68,68,210000,"female","graduate",NA,30,300,300,1159,NA,300,4250,300,1159,2280,300,4250,909,0,"2_month_delay","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
69,69,130000,"female","highschool","single",29,-190,-9850,-9850,10311,10161,7319,0,0,NA,0,7319,13899,0,"1_month_delay","no_util",NA,"pay_duly","2_month_delay","pay_duly"
70,70,20000,"male","other","single",22,18565,17204,17285,18085,11205,5982,0,1200,1000,500,1000,0,0,"2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
71,NA,80000,"male","graduate","single",31,780,0,390,390,NA,390,0,390,390,390,390,NA,0,"pay_duly",NA,"pay_duly","pay_duly","pay_duly","pay_duly"
72,72,320000,"male","university","single",29,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,1,"2_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay"
NA,73,200000,"female","university","married",32,NA,5787,-684,5247,3848,3151,5818,15,9102,17,NA,1395,0,"pay_duly","pay_duly","pay_duly","pay_duly","2_month_delay","pay_duly"
74,74,290000,"female","graduate","single",37,NA,NA,3155,0,2359,0,0,NA,0,2359,0,0,0,NA,"no_util","pay_duly","pay_duly","pay_duly","pay_duly"
NA,75,340000,"male","graduate","single",32,3048,5550,23337,NA,80153,25820,5713,23453,4314,80552,25949,2016,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
76,76,20000,"male","university","single",24,14619,17216,NA,16976,17332,18543,2850,0,NA,630,1500,0,0,"use_revolv_credit","use_revolv_credit","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit"
77,NA,50000,"male",NA,"single",25,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,1000,0,"pay_duly",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
78,78,300000,"female","graduate","married",45,291,291,NA,291,291,291,291,291,291,NA,291,291,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
79,79,30000,"female","university","single",22,28387,29612,30326,28004,NA,6411,1686,1400,560,3000,1765,NA,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
80,80,240000,"female","university","single",44,0,0,0,0,0,0,0,0,0,0,0,0,NA,"1_month_delay","no_util",NA,"no_util","no_util","no_util"
NA,81,470000,"female","highschool","divorce",33,165254,157784,162702,69923,29271,29889,6400,7566,3000,960,1000,NA,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit"
82,NA,360000,NA,"graduate","single",26,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,NA,0,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"pay_duly"
83,83,60000,"male","highschool","single",30,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,1,NA,"use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit"
84,NA,400000,"female",NA,"married",44,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,0,"use_revolv_credit",NA,"2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit"
85,85,50000,"female","highschool","single",NA,48909,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,0,"use_revolv_credit",NA,"use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit"
NA,86,160000,"male","university","single",33,130028,NA,71934,118418,118407,120418,NA,3547,80000,4500,4800,4500,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
87,87,360000,"female","graduate","married",45,390,1170,780,390,390,390,1170,0,0,390,390,390,1,"pay_duly","pay_duly","2_month_delay",NA,"pay_duly",NA
88,88,160000,"female","university","single",32,3826,4751,NA,8604,NA,766,1147,NA,2000,0,766,2303,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","pay_duly"
89,89,130000,"female","graduate","married",35,81313,117866,NA,1330,7095,1190,40000,5000,1330,7095,1190,2090,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","pay_duly",NA,"pay_duly"
90,90,20000,NA,NA,"single",44,8583,8303,9651,10488,12314,11970,0,1651,NA,NA,0,1500,0,"2_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","2_month_delay"
91,91,200000,"male","graduate","married",NA,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,1,"2_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay"
NA,92,280000,"female","graduate","single",39,7524,0,3968,3868,0,0,0,3968,0,0,0,0,0,"pay_duly","pay_duly","pay_duly","use_revolv_credit","use_revolv_credit","no_util"
93,93,100000,"female","graduate","single",27,-2000,5555,NA,0,0,0,7555,0,0,0,NA,0,0,NA,"no_util","no_util","no_util","no_util","no_util"
94,94,NA,NA,"university","married",37,880,1602,840,840,0,0,1602,NA,840,0,0,7736,NA,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly",NA
95,95,60000,"female",NA,NA,23,45648,46850,47214,19595,19209,19323,1937,1301,682,NA,816,NA,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
96,96,90000,"male","university","single",35,83725,85996,87653,35565,30942,30835,3621,3597,1179,1112,1104,1143,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
97,97,360000,"male","graduate","married",43,3967,8322,3394,6451,26370,9956,8339,3394,NA,27000,0,68978,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","use_revolv_credit"
98,98,150000,NA,"graduate","single",27,NA,86108,89006,89775,NA,40788,4031,10006,3266,4040,NA,800,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
99,99,NA,"female","highschool","married",22,18722,NA,16997,13150,8866,7899,1411,1194,NA,281,321,197,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
100,100,20000,"male","university","married",38,17973,19367,19559,18240,17928,150,NA,1460,626,1750,150,0,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","pay_duly"
101,101,140000,NA,"graduate","single",32,672,10212,NA,415,100,1430,10212,850,415,100,1430,0,0,"no_util","no_util","no_util",NA,"no_util","no_util"
102,102,380000,"female","graduate","single",30,-81,-303,32475,NA,33564,NA,NA,33178,1171,1197,1250,5000,0,"no_util","no_util","pay_duly","use_revolv_credit","use_revolv_credit","use_revolv_credit"
103,103,NA,"male","graduate","married",63,422069,431342,479432,487066,471145,469961,16078,55693,17000,0,NA,24200,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","2_month_delay","2_month_delay","use_revolv_credit"
104,104,50000,"female","highschool","single",22,44698,42254,38347,NA,23477,24094,1767,1362,1002,840,995,904,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
NA,105,60000,"female","university",NA,26,NA,55208,59175,60218,55447,55305,0,NA,NA,6,3000,NA,0,NA,"2_month_delay","2_month_delay","2_month_delay","2_month_delay","use_revolv_credit"
106,106,NA,"female","university","single",24,5580,0,0,0,0,26529,0,0,0,0,26529,2000,0,"pay_duly","pay_duly","no_util","no_util","no_util","pay_duly"
107,107,80000,"female","university","married",36,6108,2861,3277,3319,1150,NA,2861,3279,3319,1150,1150,1035,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
108,108,350000,"male","graduate","single",52,713,2272,722,867,NA,5263,2272,722,NA,1150,5263,5011,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
109,109,NA,"male","university","single",38,171438,NA,39940,120483,NA,126568,10908,0,133657,NA,133841,4796,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","pay_duly","pay_duly","pay_duly"
110,110,360000,"male","university","married",35,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,0,"1_month_delay","no_util","no_util","no_util","no_util","no_util"
111,111,330000,"female",NA,"married",31,105879,NA,105594,105896,106491,107289,9260,0,NA,NA,15794,0,0,"use_revolv_credit","use_revolv_credit","2_month_delay","use_revolv_credit",NA,"use_revolv_credit"
NA,112,50000,"male","highschool","married",47,13244,14722,15181,15928,16671,17393,2000,1000,1000,1000,1000,1000,0,"use_revolv_credit","use_revolv_credit","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit"
113,113,280000,NA,NA,"married",NA,135673,138532,134813,144401,NA,149415,6500,0,14254,14850,0,5000,0,"2_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay","3_month_delay"
114,114,100000,"female","graduate","single",24,52128,52692,54477,56076,60100,59713,2000,2677,3076,5080,3000,2033,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
115,115,NA,"male",NA,"single",NA,19015,19294,20259,20274,20311,19957,1340,1305,700,718,724,684,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
116,116,30000,"male","graduate","single",24,NA,17618,18631,21319,20692,21201,0,1312,3000,0,1000,1000,1,NA,"2_month_delay","use_revolv_credit","use_revolv_credit","3_month_delay",NA
117,117,240000,"male",NA,"single",28,326,326,326,5676,476,326,326,326,5676,476,326,526,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly",NA
118,NA,80000,"male","university","single",26,14029,15493,16630,17055,17629,18186,2000,1700,1000,1000,1000,1000,1,"2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
119,119,400000,"male","university",NA,34,19660,NA,11867,7839,NA,7959,9677,11867,NA,14837,NA,5712,NA,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
120,120,240000,"female","university","single",38,50254,51445,53015,52479,1307,NA,2000,3000,3000,1307,1203,563,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","pay_duly","pay_duly"
121,121,50000,"male","highschool",NA,37,46004,45976,48953,NA,49318,51143,1000,4035,1000,1400,2800,NA,1,"2_month_delay","2_month_delay","2_month_delay","3_month_delay","2_month_delay","2_month_delay"
NA,122,450000,"male","graduate","married",40,0,0,0,0,0,0,0,0,NA,0,0,0,1,"1_month_delay","no_util",NA,"no_util",NA,"no_util"
123,123,110000,"female","graduate","married",48,0,0,0,0,0,0,0,0,0,0,NA,0,0,"1_month_delay","no_util","no_util","no_util","no_util",NA
124,124,310000,"female","university","married",35,304991,311243,306314,258610,246491,NA,13019,11128,8407,8599,6833,5987,1,"2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit"
125,125,20000,"male","graduate","single",27,NA,18962,19298,19378,NA,15630,1404,1130,600,NA,313,0,0,"use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
NA,NA,20000,"male","university","single",23,0,0,NA,0,0,0,0,0,0,0,0,0,0,"1_month_delay","no_util","no_util","no_util","no_util","no_util"
127,127,200000,"male","highschool",NA,52,110151,99530,98951,100914,103146,104993,3568,3585,3602,3848,3669,3784,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
128,128,180000,"male","graduate",NA,36,163736,116422,99278,95766,97753,95927,4655,2690,2067,2142,2217,1000,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
129,129,50000,"male","university","married",51,3347,3899,4503,5347,6375,7077,1000,1066,1300,1500,1200,134,1,"use_revolv_credit","use_revolv_credit",NA,NA,"use_revolv_credit","use_revolv_credit"
130,130,60000,"male","highschool","married",55,NA,61450,NA,NA,29510,26547,NA,7,1200,1200,1100,1500,0,"3_month_delay","2_month_delay","2_month_delay","use_revolv_credit",NA,"use_revolv_credit"
131,131,30000,NA,"graduate",NA,23,4000,5645,3508,-27,13744,5906,NA,3508,27,13771,5911,3024,NA,"1_month_delay","no_util","no_util",NA,"pay_duly","pay_duly"
132,132,240000,"male","graduate","single",41,NA,2622,3301,3164,360,NA,2622,NA,0,360,1737,NA,0,"1_month_delay","pay_duly","pay_duly","use_revolv_credit","use_revolv_credit","pay_duly"
133,133,420000,"male","university","married",34,253454,247743,229049,220951,210606,188108,NA,9553,7603,7830,NA,11326,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
NA,134,330000,"male","highschool","married",46,227389,228719,229644,227587,227775,228203,8210,NA,8025,8175,8391,8200,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
135,135,30000,"female",NA,"single",22,NA,26145,26712,25350,17603,-780,NA,1400,0,500,NA,NA,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
136,136,240000,"male","university","married",34,10674,NA,13681,13269,14158,13891,1500,1800,0,1000,0,NA,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","2_month_delay","2_month_delay","2_month_delay"
137,137,150000,"male","graduate","single",27,17444,19342,22000,NA,27200,30229,2500,3000,3000,3000,3500,NA,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
138,138,210000,"female","university","married",33,7166,7997,8792,9189,4404,5708,1500,1500,1000,500,NA,NA,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit"
139,139,50000,"female","highschool","married",51,752,300,5880,0,0,0,300,5880,0,0,0,0,1,"pay_duly","pay_duly","pay_duly","pay_duly","no_util","no_util"
140,140,50000,"male","graduate",NA,24,50801,50143,49586,19430,19375,18995,2360,1700,1000,900,870,2130,0,"use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit",NA,"use_revolv_credit"
